links,Names,PartyName,Votes
"Baranagar (113)
                                    West Bengal
                                    WON                                  
                                    SAYANTIKA BANERJEE
                                    All India Trinamool Congress",SAYANTIKA BANERJEE,All India Trinamool Congress,69251 (+ 8148)
"Baranagar (113)
                                    West Bengal
                                    WON                                  
                                    SAYANTIKA BANERJEE
                                    All India Trinamool Congress",SAJAL GHOSH,Bharatiya Janata Party,61103 ( -8148)
"Baranagar (113)
                                    West Bengal
                                    WON                                  
                                    SAYANTIKA BANERJEE
                                    All India Trinamool Congress",TANMOY BHATTACHARYA,Communist Party of India  (Marxist),26735 ( -42516)
"Baranagar (113)
                                    West Bengal
                                    WON                                  
                                    SAYANTIKA BANERJEE
                                    All India Trinamool Congress",SHUBHRANGSHU BHAKTA,Independent,545 ( -68706)
"Baranagar (113)
                                    West Bengal
                                    WON                                  
                                    SAYANTIKA BANERJEE
                                    All India Trinamool Congress",CHITRAPARNA MONDAL,Bharatiya Nyay-Adhikar Raksha Party,511 ( -68740)
"Baranagar (113)
                                    West Bengal
                                    WON                                  
                                    SAYANTIKA BANERJEE
                                    All India Trinamool Congress",SAJAL KUMAR GHOSH,Independent,428 ( -68823)
"Baranagar (113)
                                    West Bengal
                                    WON                                  
                                    SAYANTIKA BANERJEE
                                    All India Trinamool Congress",SAMAR KRISHNA SINGHA,Socialist Unity Centre Of India (COMMUNIST),410 ( -68841)
"Baranagar (113)
                                    West Bengal
                                    WON                                  
                                    SAYANTIKA BANERJEE
                                    All India Trinamool Congress",PRASENJIT DEY,Independent,224 ( -69027)
"Baranagar (113)
                                    West Bengal
                                    WON                                  
                                    SAYANTIKA BANERJEE
                                    All India Trinamool Congress",NOTA,None of the Above,1678 ( -67573)
"Bhagabangola (62)
                                    West Bengal
                                    WON                                  
                                    REYAT HOSSAIN SARKAR
                                    All India Trinamool Congress",REYAT HOSSAIN SARKAR,All India Trinamool Congress,107096 (+ 15617)
"Bhagabangola (62)
                                    West Bengal
                                    WON                                  
                                    REYAT HOSSAIN SARKAR
                                    All India Trinamool Congress",ANJU BEGAM,Indian National Congress,91479 ( -15617)
"Bhagabangola (62)
                                    West Bengal
                                    WON                                  
                                    REYAT HOSSAIN SARKAR
                                    All India Trinamool Congress",BHASKAR SARKAR,Bharatiya Janata Party,17288 ( -89808)
"Bhagabangola (62)
                                    West Bengal
                                    WON                                  
                                    REYAT HOSSAIN SARKAR
                                    All India Trinamool Congress",MD MURSHIDUL ALAM,All India Secular Front,2298 ( -104798)
"Bhagabangola (62)
                                    West Bengal
                                    WON                                  
                                    REYAT HOSSAIN SARKAR
                                    All India Trinamool Congress",OMAR KHAYYAM (ZIKO),Socialist Unity Centre Of India (COMMUNIST),1093 ( -106003)
"Bhagabangola (62)
                                    West Bengal
                                    WON                                  
                                    REYAT HOSSAIN SARKAR
                                    All India Trinamool Congress",NASHIM HOSSAIN,Independent,572 ( -106524)
"Bhagabangola (62)
                                    West Bengal
                                    WON                                  
                                    REYAT HOSSAIN SARKAR
                                    All India Trinamool Congress",MD. NURUL ISLAM,Independent,463 ( -106633)
"Bhagabangola (62)
                                    West Bengal
                                    WON                                  
                                    REYAT HOSSAIN SARKAR
                                    All India Trinamool Congress",NOTA,None of the Above,1255 ( -105841)
"Duddhi  (403)
                                    Uttar Pradesh
                                    WON                                  
                                    VIJAY SINGH
                                    Samajwadi Party",VIJAY SINGH,Samajwadi Party,82787 (+ 3208)
"Duddhi  (403)
                                    Uttar Pradesh
                                    WON                                  
                                    VIJAY SINGH
                                    Samajwadi Party",SARAVAN KUMAR,Bharatiya Janata Party,79579 ( -3208)
"Duddhi  (403)
                                    Uttar Pradesh
                                    WON                                  
                                    VIJAY SINGH
                                    Samajwadi Party",RAVI SINGH,Bahujan Samaj Party,22395 ( -60392)
"Duddhi  (403)
                                    Uttar Pradesh
                                    WON                                  
                                    VIJAY SINGH
                                    Samajwadi Party",DAYASHANKAR SINGH,Gondvana Gantantra Party,2661 ( -80126)
"Duddhi  (403)
                                    Uttar Pradesh
                                    WON                                  
                                    VIJAY SINGH
                                    Samajwadi Party",MANOJ KUMAR,Rashtriya Samanta Dal,2300 ( -80487)
"Duddhi  (403)
                                    Uttar Pradesh
                                    WON                                  
                                    VIJAY SINGH
                                    Samajwadi Party",DINESH KUMAR,Independent,2045 ( -80742)
"Duddhi  (403)
                                    Uttar Pradesh
                                    WON                                  
                                    VIJAY SINGH
                                    Samajwadi Party",NOTA,None of the Above,5252 ( -77535)
"Gainsari (292)
                                    Uttar Pradesh
                                    WON                                  
                                    RAKESH KUMAR YADAV
                                    Samajwadi Party",RAKESH KUMAR YADAV,Samajwadi Party,87120 (+ 9437)
"Gainsari (292)
                                    Uttar Pradesh
                                    WON                                  
                                    RAKESH KUMAR YADAV
                                    Samajwadi Party","SHAILESH KUMAR SINGH ""SHAILU""",Bharatiya Janata Party,77683 ( -9437)
"Gainsari (292)
                                    Uttar Pradesh
                                    WON                                  
                                    RAKESH KUMAR YADAV
                                    Samajwadi Party","MOHD. HARIS KHAN ""FIDA BABA""",Bahujan Samaj Party,16983 ( -70137)
"Gainsari (292)
                                    Uttar Pradesh
                                    WON                                  
                                    RAKESH KUMAR YADAV
                                    Samajwadi Party",MOHD GULJAR AHMAD,Peace Party,1307 ( -85813)
"Gainsari (292)
                                    Uttar Pradesh
                                    WON                                  
                                    RAKESH KUMAR YADAV
                                    Samajwadi Party",SHESHRAM,Independent,855 ( -86265)
"Gainsari (292)
                                    Uttar Pradesh
                                    WON                                  
                                    RAKESH KUMAR YADAV
                                    Samajwadi Party",LAKSHMAN LAL,Independent,507 ( -86613)
"Gainsari (292)
                                    Uttar Pradesh
                                    WON                                  
                                    RAKESH KUMAR YADAV
                                    Samajwadi Party",RAM DULARE,Independent,485 ( -86635)
"Gainsari (292)
                                    Uttar Pradesh
                                    WON                                  
                                    RAKESH KUMAR YADAV
                                    Samajwadi Party",NOTA,None of the Above,1364 ( -85756)
"Lucknow East (173)
                                    Uttar Pradesh
                                    WON                                  
                                    O. P. SRIVASTAVA
                                    Bharatiya Janata Party",O. P. SRIVASTAVA,Bharatiya Janata Party,142948 (+ 53887)
